from_user,tweets
InternetHaiti,749
vaniibaby,612
DELKYBETTY,443
joellart,386
gandhy_370,273
marijo0021,272
Dastream,271
thehaitian,181
INGLAMB,181
Dahianita_,170
CaribFeed,164
maomusic,150
MrsBeadless,118
apolycarpe,101
richardsession,95
MilagrosGV,84
thaiszprata,83
CheoRd,73
fredodupoux,71
PortAuPrinceHT,65
mchypes,65
WesleyLaine,59
BareKnuckleDawg,50
bru_nooo,46
FallingForYa,45
titosh509,42
sheylavalentin,42
StacyDaniela,40
mikaben,39
ayitilokal,39
GustavoBre,38
troylivesay,37
Louisoxfam,36
mantohave,35
tbijou,34
lpharel,33
MrRKR,32
laura_dubya,32
georgeshenry,31
AjRuthless,31
childhopeintl,30
alannah7,30
LudCortez,29
FerreiraCarlos,29
venenodelalinea,27
Luisa2118,27
forjo1,27
BautVal,27
OliverTio,26
LDubtheBuckaroo,26
TheEaglesWings,25
jfarcand,25
AuntCatricia,23
ms_aarika,22
rickperera,21
mohhaiti,21
01ladybug,21
SincerelyStacey,20
JannyFz,20
velezcnn,19
mediahacker,19
babii_freitas,19
ViannyGL,18
s4potr,18
nossel5estrella,18
myLIFEspeaks,18
LifelineCM,18
haitianchick94,18
AlondraM22,18
teomenghow,17
mimiandersen,17
Keepin_It_Tight,17
Audio_Rydeout,16
UidX,15
simonelimaa,15
perezpablo,15
paraisolyre,15
nunez_,15
melvinleonel,15
JanetCamilo,15
FreezyYeLe,15
AC_OB_CN,15
tdandrades,14
raffygil,14
hommycampusano,14
haitianhero,14
ddhawthorne,14
radiokiskeya,13
nano404,13
mchldsr,13
Kamilogarcia,13
cristianrguez,13
amiranda,13
weezhy,12
viequesbound,12
ronerdavis,12
RicardoLUNA1,12
llacigart,12
Haitianaero,12
glainhaiti,12
szbrand,11
Peru_Pwns,11
Knaomee,11
isa97,11
donbarger,11
pierrecote,10
lauraderamon9,10
INUREDHAITI,10
FunkinMoMo,10
MerlotVine,9
Kitri1,9
AdeElmer,9
tichine,8
Mark_Turner_,8
