"message_from","message_date"
"ClintonTweet","2010-01-22 14:01:19"
"clivesimpkins","2010-01-22 14:01:19"
"xSevcan","2010-01-22 14:01:18"
"viequesbound","2010-01-22 14:01:16"
"AffiliatedMusic","2010-01-22 14:01:15"
"TiffanyCloud","2010-01-22 14:01:14"
"milagrospdx","2010-01-22 14:01:12"
"gigibleu","2010-01-22 14:01:11"
"TKOEd","2010-01-22 14:01:07"
"TKOEd","2010-01-22 14:01:07"
"Ben_Rand","2010-01-22 14:01:04"
"SkylarEntertain","2010-01-22 14:01:01"
"AaronBBrown","2010-01-22 14:00:58"
"jmoxfordc","2010-01-22 14:00:57"
"JanessaBhere","2010-01-22 14:00:56"
"Poet","2010-01-22 14:00:54"
"chelseydc","2010-01-22 14:00:50"
"TKOEd","2010-01-22 14:00:47"
"twowayradios","2010-01-22 14:00:45"
"Keepin_It_Tight","2010-01-22 14:00:42"
"Metro_Parent","2010-01-22 14:00:40"
"amherlocker","2010-01-22 14:00:36"
"TKOEd","2010-01-22 14:00:34"
"theonekimmy","2010-01-22 14:00:27"
"ScionMusic","2010-01-22 14:00:24"
"EZF_TopMoms","2010-01-22 14:00:24"
"HaitianEv","2010-01-22 14:00:23"
"mfdalessio","2010-01-22 14:00:23"
"murmur55","2010-01-22 14:00:23"
"bsak","2010-01-22 14:00:19"
"GAWaldenmeier","2010-01-22 14:00:19"
"anniefed","2010-01-22 14:00:18"
"hcjbglobal","2010-01-22 14:00:16"
"swissfm","2010-01-22 14:00:15"
"RIESTERAgency","2010-01-22 14:00:11"
"pinkessa","2010-01-22 14:00:07"
"HungerFREE","2010-01-22 14:00:05"
"DarrylHallard","2010-01-22 14:00:05"
"Dinnerreviews","2010-01-22 14:00:05"
"twicker_net","2010-01-22 14:00:04"
"425Magazine","2010-01-22 14:00:03"
"RITNEWS","2010-01-22 14:00:03"
"TMacTini","2010-01-22 14:00:01"
"cruiselaw","2010-01-22 14:00:01"
"MissionMANNA","2010-01-22 13:59:59"
"Dputamadre","2010-01-22 13:59:57"
"LudCortez","2010-01-22 13:59:55"
"BarbarataJones","2010-01-22 13:59:53"
"CarlmannJohnson","2010-01-22 13:59:49"
"elVollbrechto","2010-01-22 13:59:48"
"scjordan","2010-01-22 13:59:42"
"sassysongstress","2010-01-22 13:59:41"
"fernandocesar","2010-01-22 13:59:39"
"lindseykaye","2010-01-22 13:59:35"
"MissionMANNA","2010-01-22 13:59:31"
"MHOneonOne","2010-01-22 13:59:28"
"Run4LifeIndy","2010-01-22 13:59:25"
"mollymali","2010-01-22 13:59:24"
"mparent77772","2010-01-22 13:59:22"
"brokentelegraph","2010-01-22 13:59:22"
"JimDuncan","2010-01-22 13:59:21"
"realcrozetva","2010-01-22 13:59:21"
"multimediadiva","2010-01-22 13:59:21"
"LafayetteTB","2010-01-22 13:59:18"
"cbhaitifund","2010-01-22 13:59:16"
"coldcanuck","2010-01-22 13:59:15"
"AprilAlcaide","2010-01-22 13:59:13"
"pcorpsconnect","2010-01-22 13:59:10"
"healthfinder","2010-01-22 13:59:05"
"Ebelgreen","2010-01-22 13:59:02"
"CamiillaLins","2010-01-22 13:59:02"
"MissionMANNA","2010-01-22 13:59:01"
"CemB","2010-01-22 13:58:56"
"Run4LifeIndy","2010-01-22 13:58:51"
"JanessaBhere","2010-01-22 13:58:46"
"MichaelDinoff","2010-01-22 13:58:42"
"USAforHaiti","2010-01-22 13:58:40"
"thatgirlmystic","2010-01-22 13:58:38"
"margofranssen","2010-01-22 13:58:33"
"MissionMANNA","2010-01-22 13:58:33"
"lollipop_lily","2010-01-22 13:58:31"
"CreamWorldMag","2010-01-22 13:58:31"
"linusbille","2010-01-22 13:58:28"
"JanessaBhere","2010-01-22 13:58:26"
"carlosfdordz","2010-01-22 13:58:24"
"maggiedobbins07","2010-01-22 13:58:22"
"rt_heidelberg","2010-01-22 13:58:14"
"lend112","2010-01-22 13:58:14"
"rt_heidelberg","2010-01-22 13:58:14"
"sociolingo","2010-01-22 13:58:09"
"goomez","2010-01-22 13:58:05"
"jeffcourter","2010-01-22 13:58:03"
"rodneystack","2010-01-22 13:58:00"
"NOLABelle83","2010-01-22 13:57:52"
"_BrittanyMorgan","2010-01-22 13:57:51"
"WhyPR","2010-01-22 13:57:51"
"mparent77772","2010-01-22 13:57:46"
"CharlottedaMuse","2010-01-22 13:57:45"
"LockSchuppen","2010-01-22 13:57:43"
"marcelamatheus","2010-01-22 13:57:43"
"briana_marie","2010-01-22 13:57:43"
"wheresdaniel","2010-01-22 13:57:41"
"MissionMANNA","2010-01-22 13:57:40"
"afrosapiens","2010-01-22 13:57:39"
"10thAmendment","2010-01-22 13:57:39"
"OlDirtyBarbie","2010-01-22 13:57:39"
"bobbycabby","2010-01-22 13:57:37"
"startupprincess","2010-01-22 13:57:37"
"alpacaaddict","2010-01-22 13:57:33"
"TravelIndustry","2010-01-22 13:57:30"
"octavianasrCNN","2010-01-22 13:57:29"
"silveye","2010-01-22 13:57:28"
"PatyYama","2010-01-22 13:57:27"
"anibunny","2010-01-22 13:57:22"
"Maygen28","2010-01-22 13:57:20"
"bieberer","2010-01-22 13:57:14"
"PropertyAdsJA","2010-01-22 13:57:09"
"EmmytheCat","2010-01-22 13:57:08"
"TKOEd","2010-01-22 13:57:01"
"forjo1","2010-01-22 13:56:58"
"medienhaus","2010-01-22 13:56:56"
"Phoebe1_","2010-01-22 13:56:55"
"JL_PepeChucho","2010-01-22 13:56:54"
"ChoosingChange","2010-01-22 13:56:53"
"riotCT","2010-01-22 13:56:45"
"awomanwhoknows","2010-01-22 13:56:43"
"gmanerald","2010-01-22 13:56:39"
"damarisbb","2010-01-22 13:56:39"
"LuxuryTravelMom","2010-01-22 13:56:33"
"KPIZZ07","2010-01-22 13:56:32"
"themadmom","2010-01-22 13:56:31"
"kingkaps7","2010-01-22 13:56:30"
"USAforHaiti","2010-01-22 13:56:29"
"MattyMatt2020","2010-01-22 13:56:26"
"FelixGarciaZ","2010-01-22 13:56:26"
"maliciousmandy1","2010-01-22 13:56:26"
"DoggieDog","2010-01-22 13:56:26"
"internews","2010-01-22 13:56:26"
"SouthSoundMag","2010-01-22 13:56:19"
"themantle","2010-01-22 13:56:16"
"Vaaaah","2010-01-22 13:56:16"
"OzarksRedCross","2010-01-22 13:56:13"
"robertmcmc","2010-01-22 13:56:09"
"adriancharles","2010-01-22 13:56:08"
"sfsam22","2010-01-22 13:56:05"
"ramirezdavid","2010-01-22 13:56:03"
"corriereflash24","2010-01-22 13:56:03"
"alejandrosada","2010-01-22 13:56:00"
"bennysalas","2010-01-22 13:56:00"
"1WarriorPrincss","2010-01-22 13:55:53"
"QcprieQcprays","2010-01-22 13:55:53"
"chrysalisceo","2010-01-22 13:55:50"
"BYUKennedyCtr","2010-01-22 13:55:47"
"mparent77772","2010-01-22 13:55:44"
"Keepin_It_Tight","2010-01-22 13:50:14"
"AgentSwitcher","2010-01-22 13:47:07"
"Power2Improve","2010-01-22 13:44:53"
"nathalief","2010-01-22 13:44:49"
"QuakeInHaiti","2010-01-22 13:37:37"
"QuakeInHaiti","2010-01-22 13:35:50"
"QuakeInHaiti","2010-01-22 13:34:12"
"QuakeInHaiti","2010-01-22 13:32:45"
"QuakeInHaiti","2010-01-22 13:31:19"
"smithjoanna","2010-01-22 13:29:28"
"VPVIII","2010-01-22 13:29:28"
"socialedge","2010-01-22 13:29:27"
"GleekedUp","2010-01-22 13:29:26"
"ChefRobinL","2010-01-22 13:29:26"
"marketingveep","2010-01-22 13:29:25"
"HealthInFocus","2010-01-22 13:29:23"
"LynneElmira","2010-01-22 13:29:18"
"QuakeInHaiti","2010-01-22 13:29:16"
"UnderTheBoTree","2010-01-22 13:29:16"
"TooCooL747","2010-01-22 13:29:16"
"Keepin_It_Tight","2010-01-22 13:29:15"
"AnnieFlies","2010-01-22 13:29:12"
"Meira_Davi","2010-01-22 13:29:12"
"CA_global","2010-01-22 13:29:10"
"Own_Your_Future","2010-01-22 13:29:10"
"DaniBluff","2010-01-22 13:29:10"
"alinesoliveira","2010-01-22 13:29:09"
"TwilightAwards","2010-01-22 13:29:08"
"IMC360Video","2010-01-22 13:29:05"
"viequesbound","2010-01-22 13:29:04"
"springcolors","2010-01-22 13:29:03"
"makeadiff21","2010-01-22 13:29:00"
"2morrowknight","2010-01-22 13:28:58"
"jxshao","2010-01-22 13:28:58"
"girlmeetsbike","2010-01-22 13:28:57"
"MissionMANNA","2010-01-22 13:28:54"
"Karin_O","2010-01-22 13:28:52"
"stelayordanova","2010-01-22 13:28:51"
"sonia_rio","2010-01-22 13:28:50"
"georginaclaudin","2010-01-22 13:28:49"
"motodev","2010-01-22 13:28:47"
"Lys_Almeida","2010-01-22 13:28:47"
"duringnaptime","2010-01-22 13:28:46"
"georginaclaudin","2010-01-22 13:28:45"
"loschampions","2010-01-22 13:28:44"
"NonProfitTimes","2010-01-22 13:28:43"
"UnderTheBoTree","2010-01-22 13:28:41"
