"message_from","tweet_count"
"tehranweekly",354
"MissionMANNA",340
"InternetHaiti",275
"epiccolorado",201
"QuakeInHaiti",177
"jmswfc",171
"schachin",137
"3fatcats",114
"sspcampsie",112
"PropertyAdsJA",111
"twicker_net",110
"clarlune",108
"loveHisWords",107
"nakeddiary",104
"viequesbound",102
"douglaspaul",98
"Knaomee",97
"LumiCelestial",89
"tengoentradas",87
"forjo1",86
"SpyDrMedia",85
"kareenaristide",83
"BDuguay",82
"MirelaMonte",82
"Sannri",82
"pierrecote",79
"Catweazle1961",77
"USAforHaiti",77
"100prayingwomen",76
"sophiabliu",74
"rodneystack",74
"walkingtogitmo",73
"haitiinfocus",73
"retweet_central",72
"searchrescuedog",71
"rqskye",71
"Keepin_It_Tight",69
"nrodovsky",67
"artfanatic411",66
"Org9",65
"rachellehoude",65
"uberguineapig",64
"helpiranheal",63
"SJTonline",63
"Daaniyal_star",63
"Winterthur",62
"alaingabriel",62
"ladyallein1",62
"AaronBBrown",61
"hcjbglobal",61
"llacigart",61
"LovesCafe",61
"mimiandersen",61
"TKOEd",60
"LuvsKathakDance",59
"democrats2009",57
"eldiariony",56
"MonicaTedde",55
"Meira_Davi",54
"BrettR4763",53
"robertmcmc",53
"SnarkehSharkeh",52
"I_enigma",52
"WorldVisionNews",52
"MSF_usa",51
"umitosky",50
"kristinebrite",50
"The_Metamora",50
"Mwolda",50
"badjerry",50
"hopeforhaiti",49
"angelfrmcanada",49
"NoiNonguk",49
"1stnations",48
"doudouzhubach",47
"TastyKeish",47
"lperk",47
"Tweeetering",47
"robinbauer",47
"WorldVisionUSA",47
"redcrossmom",47
"seedplanter11",46
"MeandMyHouse",46
"VRWCTexan",46
"PlanetEarthDiv",46
"gagneeric",45
"KingPoloIII",45
"velofemme",44
"haiti_tweets",44
"ada85",44
"majeeda",44
"casalla",44
"staiisea",43
"bulle972",42
"FabiolaF_PRStar",42
"katrinawarriors",42
"ddsnorth",41
"FindYourMission",41
"queren_santos",41
"sociolingo",40
"googlewaveyour",40
"ThinkingofRob",40
"HaitiKledevClay",39
"allenypfong",39
"jmsardo",39
"kirsteneuronews",39
"natashaleite",39
"Aislinnye24",38
"DoggieDog",38
"AntonioTalent",38
"Gift41Gifts4All",38
"christinakr",38
"helphaitiheal",38
"bakerwrite",38
"soniaelena62",38
"2morrowknight",37
"ZildaArnsInMemo",37
"gloriadefeo",37
"smithjoanna",37
"sanctuary1931",37
"webarticulista",37
"politicalwind",37
"Pepperfire",37
"UnicTunis",36
"highlandwhite",36
"SLSiri",36
"reneewalker1",36
"Shhh528",35
"frankie_f1",35
"sgtkjohn",35
"ungaro",35
"dapana2",34
"ZnaTrainer",34
"GAWaldenmeier",34
"AMYCHAMP",34
"LoriMoreno",34
"zyozyfounder",33
"dwitter_com",33
"VitorBranco",33
"Elfiem",33
"T4Tx",33
"madlolscientist",33
"robstar5800",33
"SamaritansPurse",33
"stacy_m_weaver",32
"FRANCE24",32
"BrokePimpStyles",32
"fotoguy4hire",32
"corettajackson",32
"jmcaninch68",32
"LuvXtravagantly",32
"LynBenSebring",32
"tangrammusic",31
"GoodinPDX",31
"polly_kemp",31
"TVZL",30
"drgoddess",30
"El_Enigma",30
"GhostRiderRadio",30
"BookDragon62",29
"manatrue",29
"asoutherngirl",29
"mr_mookie",29
"aliveinafghan",28
"DoubletakeCloth",28
"Shhh527",28
"Dputamadre",28
"Eowyn9",28
"JoanneMichele",28
"JShahryar",28
"maddybearsmom",28
"mokkikunta",28
"planglobal",28
"NationsBeGlad",28
"PlanCanada",28
"UNHaitiInfo",27
"HolyVirginToast",27
"tsepeaces",27
"HOPE_FOR_HAITI",27
"wordpeice",27
"joygreenmcgann",27
"Crimson_Cougar",27
"margofranssen",27
"cait",27
"RasTommy",27
"01ladybug",27
"avivao",27
"AmericaGovFr",27
"GibertPascal",26
"beyond_MEASURE",26
"heykim",26
"blackhippychick",26
"IDFspokesperson",26
"BruceTutcher",26
"MsFabulous_MIA",26
"shariatmadari",26
"RedMonetMizrahi",26
"_Virgi_",25
"FutureHaiti",25
"AyntSuzies",25
"Imzadi1",25
"mommadona",25
"N_Fan",25
"calidoc99",24
"dagnytaggart18",24
"triplenickel",24
"de_trends2",24
"edjanemapsobama",24
"franklinpolanco",24
"heyjude408",24
"latimesphotos",24
"manydrums",24
"MelyMello",24
"ushahidi",23
"gapconsulting",23
"ASoldiersMother",23
"GMRobertson",23
"IsraelMFA",23
"jacquiestrax",23
"kimjack61",23
"kiskeacity",23
"rstilskin",23
"peteramckay",23
"probert06",23
"SangyeH",23
"10thAmendment",22
"demokraten2009",22
"Anita5446",22
"hospiceRN54",22
"CalFireNews",22
"JulianatDerby",22
"avengerowl",22
"lizditz",22
"ABluePearl",22
"mamamedusa",22
"zinebzekhnini",22
"TEXTYELE501501",22
"uruknet",22
"Donnette",21
"yohandry",21
"ellepiari",21
"yonwench",21
"ghawi",21
"SuziLeVeaux",21
